step	ts_utc	kind	ref	outcome	note
1	2026-09-26T14:40:45Z	resource	AI-internal/skill-references/discovery-log-format.md	used	discovery-log spec read before first row
2	2026-09-26T14:40:45Z	resource	analysis/09_routeA_iteration3/01_discovery/claim.md	used	node claim names chapkit_ghr_model at commit a9532c7 and chapkit 2.1.2; will pin to a9532c7
3	2026-09-26T14:40:45Z	decision	pin model at a9532c7	used	claim.md in own node names this commit; brief does not, so treat as the node's intended pin
4	2026-09-26T14:40:53Z	milestone	first_doc_opened	ok	starting from the model repository README
5	2026-09-26T14:40:53Z	command	git clone https://github.com/chap-models/chapkit_ghr_model && git checkout a9532c7	ok	cloned into scratchpad work dir
6	2026-09-26T14:40:53Z	milestone	model_obtained	ok	
7	2026-09-26T14:41:04Z	resource	https://github.com/chap-models/chapkit_ghr_model/blob/a9532c7/README.md	used	chapkit service on :8000 via make build/run or compose.ghcr.yml; defaults need rainfall+mean_temperature+population; geometry strict; amd64 only; does not say how to invoke chap eval
8	2026-09-26T14:41:11Z	resource	chapkit_ghr_model@a9532c7: Makefile compose.yml compose.ghcr.yml Dockerfile pyproject.toml CLAUDE.md	used	make build gives chapkit-ghr-model:latest (linux/amd64); service on :8000; GHCR image ghcr.io/chap-models/chapkit_ghr_model:latest
9	2026-09-26T14:41:17Z	resource	chapkit_ghr_model@a9532c7: main.py .github/workflows/publish-docker.yml	used	service id chapkit-ghr-model; monthly; required covariate population; free extra covariates allowed; GHCR image tagged latest and sha-short
10	2026-09-26T14:41:27Z	command	chap --version; chap --help	ok	chap 2.3.1 at ~/.local/bin/chap; has eval, plot-backtest, export-metrics, validate
11	2026-09-26T14:41:27Z	resource	chap eval --help	used	MODEL-NAME may be a chapkit service URL e.g. http://localhost:8000; needs --run-config.is-chapkit-model; --plot defaults False; no geojson argument listed
12	2026-09-26T14:41:34Z	resource	Archive/data-lao/chap_LAO_admin1_monthly.csv + _schema.json + .geojson	used	CSV has CHAP columns time_period,location,disease_cases,population,rainfall,mean_temperature; geojson 18 features with id=shapeISO matching location; schema row_count 2575 disagrees with CSV rows
13	2026-09-26T14:41:51Z	resource	https://raw.githubusercontent.com/dhis2-chap/chap-core/master/README.md	discarded	overview and dev setup only; points to chap.dhis2.org docs; nothing on chap eval
14	2026-09-26T14:42:45Z	command	git clone https://github.com/dhis2-chap/chap-core && git checkout v2.3.1	ok	docs matching the installed CLI version
15	2026-09-26T14:42:45Z	resource	https://github.com/dhis2-chap/chap-core/blob/v2.3.1/docs/chap-cli/eval-reference.md	used	chapkit via --model-name http://localhost:8000 --run-config.is-chapkit-model; geojson auto-discovered by same basename, ids must match location; plot-backtest and export-metrics are the follow-on steps
16	2026-09-26T14:42:54Z	resource	https://github.com/dhis2-chap/chap-core/blob/v2.3.1/docs/chap-cli/evaluation-workflow.md	used	3-step workflow eval then plot-backtest then export-metrics; plot types listed; default plot type not stated here
17	2026-09-26T14:43:07Z	resource	https://github.com/dhis2-chap/chap-core/blob/v2.3.1/docs/external_models/chapkit.md	used	run the service with docker run -p PORT:8000 then chap eval --model-name http://localhost:PORT --run-config.is-chapkit-model --plot; example uses the same Lao CSV; config via --model-configuration-yaml user_option_values
18	2026-09-26T14:43:07Z	resource	chap plot-backtest --help; chap export-metrics --help	used	plot-backtest default plot-type is evaluation_plot; export-metrics computes all aggregate metrics by default
19	2026-09-26T14:43:18Z	command	docker manifest inspect ghcr.io/chap-models/chapkit_ghr_model:sha-a9532c7	ok	published amd64 image exists for the pinned commit; host is arm64 so it will run under emulation
